Behavior,Life_StAdultge,Play
CHASE,YeAdultrling,Y
TORPEDO,YeAdultrling,Y
PLAY_BITE,YeAdultrling,Y
REST_BA,YeAdultrling,N
REST_H_O,YeAdultrling,N
CHASE,YeAdultrling,Y
REST_BA,YeAdultrling,N
TORPEDO,YeAdultrling,Y
REST_H_O,Adult,N
REST_BO,YeAdultrling,N
REST_BA,Adult,N
REST_BA,Adult,N
REST_H_O,Adult,N
REST_H_O,Adult,N
REST_H_O,Adult,N
REST_H_O,Adult,N
PLAY_BITE,YeAdultrling,Y
NUZZLE,YeAdultrling,Y
REST_H_O,Pup,N
REST_BA,Adult,N
TORPEDO,Pup,Y
REST_BA,YeAdultrling,N
REST_BO,Pup,N
REST_BO,Pup,N
TORPEDO,YeAdultrling,Y
REST_BA,Adult,N
,,
,,
REST_H_O,Adult,N
CHASE,Adult,Y
ACK_SP,Adult,N
GALUMPH,Adult,Y
REST_H_O,YeAdultrling,N
GALUMPH,Adult,Y
REST_BO,YeAdultrling,Y
REST_BA,Adult,Y
PORPOISE,YeAdultrling,Y
OBJ_MAN,Pup,Y
GALUMPH,Adult,Y
SLAP,Pup,Y
REST_BO,Adult,Y
SLAP,Adult,A
REST_H_O,Adult,N
REST_BO,YeAdultrling,N
REST_BO,Adult,N
REST_H_O,Adult,N
REST_H_O,Adult,N
ACK_Z,Adult,N
,,
GALUMPH,Pup,Y
REST_BO,YeAdultrling,N
GALUMPH,YeAdultrling,Y
SPLASH,Adult,Y
GALUMPH,Pup,Y
GALUMPH,Adult,Y
GALUMPH,Pup,Y
REST_H_O,Pup,Y
TORPEDO,YeAdultrling,Y
TORPEDO,Adult,Y
SPLASH,Adult,Y
REST_H_O,Adult,Y
REST_BO,Adult,N
REST_BO,YeAdultrling,N
REST_H_O,Adult,N
REST_H_O,Adult,N
TORPEDO,YeAdultrling,Y
REST_H_O,Adult,N
REST_BO,Adult,N
ACK_Z,Adult,N
TORPEDO,Adult,Y
REST_BA,Adult,N
NUZZLE,Adult,Y
NUZZLE,Pup,Y
CHASE,Pup,Y
REST_BO,Adult,N
REST_H_O,Adult,N
REST_H_O,Adult,N
REST_H_O,YeAdultrling,N
CHASE,Pup,Y
REST_BO,Adult,N
REST_H_O,Adult,N
REST_H_O,Pup,N
,,
REST_BO,Adult,N
REST_BA,Pup,N
REST_BO,YeAdultrling,N
REST_BO,YeAdultrling,N
REST_BO,Pup,N
REST_BO,Pup,N
TORPEDO,YeAdultrling,Y
REST_BO,Adult,N
REST_BO,Adult,N
DIP_HEAD,Adult,N
REST_H_O,Adult,N
ACK_Z,Adult,N
ACK_Z,Adult,N
,,
REST_BO,Pup,N
GALUMPH,Pup,N
ALL_DIVE,Adult,U
REST_H_O,Adult,N
CLIMB,Pup,Y
GALUMPH,YeAdultrling,Y
ACK_SP,Adult,N
REST_BO,Adult,N
ACK_SP,YeAdultrling,N
REST_BA,Pup,N
TORPEDO,Pup,N
ACK_SP,Adult,N
REST_BA,Adult,N
SWIM,Adult,N
,,
ACK_SP,Adult,N
ACK_SP,Adult,N
REST_H_O,Pup,N
ACK_SP,Pup,N
ALL_DIVE,Adult,U
REST_H_O,Adult,N
REST_H_O,Pup,N
REST_BO,Pup,N
ACK_SB,Adult,N
SPLASH,Adult,Y
SPLASH,YeAdultrling,Y
REST_BA,Pup,N
SPLASH,Pup,Y
ACK_SP,Adult,N
TORPEDO,Adult,Y
REST_BO,YeAdultrling,N
REST_BO,Adult,N
TORPEDO,Pup,Y
SWIM,Adult,N
REST_BO,YeAdultrling,N
